Acronym,Definition
ISN,Bureau of International Security and Nonproliferation (DOS)
ISO,International Organization for Standardization
ISOPAK,International Organization for Standardization package
ISOPREP,isolated personnel report
ISR,"intelligence, surveillance, and reconnaissance"
ISRD,"intelligence, surveillance, and reconnaissance division"
ISRLO,"intelligence, surveillance, and reconnaissance liaison officer (USAF)"
ISR WG,"Intelligence, Surveillance, and Reconnaissance Wing"
ISS,in-system select
ISU,internal airlift or helicopter slingable container unit
IT,information system technician
ITA,International Trade Administration (DOC)
ITF,intelligence task force (DIA)
ITL,intelligence task list
ITO,installation transportation officer
ITU,International Telecommunications Union
ITV,in-transit visibility
ITW/AA,integrated tactical warning and attack assessment
IV,intravenous
IW,irregular warfare
IWC,information operations warfare commander
IWG,intelligence working group
IWW,inland waterway
IWWS,inland waterway system
J-1,manpower and personnel directorate of a joint staff
J-2,intelligence directorate of a joint staff
J-2E,joint force exploitation staff element
J-2X,joint force counterintelligence and human intelligence staff element
J-3,operations directorate of a joint staff
J-31,Joint Force Coordinator (Joint Staff)
J-35,future operations cell
J-39 DDGO,"Joint Staff, Deputy Director for Global Operations"
J-4,logistics directorate of a joint staff
J-5,plans directorate of a joint staff
J-6,communications system directorate of a joint staff
J-7,engineering staff section of a joint staff
J-8,"Joint Staff Directorate for Force Structure, Resource, and Assessment"
J-9,civil-military operations directorate of a joint staff
J-2T,deputy directorate for targets of a joint staff
JA,judge advocate
JA/ATT,joint airborne and air transportability training
JAARS,Joint After-Action Reporting System
JAAT,joint air attack team
JAC,joint analysis center
JACCE,joint air component coordination element
JACE,joint air coordination element
JACS,joint automated communication-electronics operating instructions system
JADOC,Joint Air Defense Operations Center (NORAD)
JADOCS,Joint Automated Deep Operations Coordination System
JAG,judge advocate general
JAGIC,joint air-ground integration center
JAMMS,Joint Asset Movement Management System
JAOC,joint air operations center
JAOP,joint air operations plan
JARN,joint air request net
JASSM,joint air-to-surface standoff missile
JAT,joint assessment team
JBPO,joint blood program office
JCA,joint capability area
JCASO,Joint Contingency Acquisition Support Office (DLA)
JCC,joint collaboration cell
JCCA,joint combat capability assessment
JCCC,Joint Combat Camera Center
JCCSE,Joint Continental United States Communications Support Environment
JCEOI,joint communications-electronics operating instructions
JCET,joint combined exchange training
JCEWR,joint coordination of electronic warfare reprogramming
JCEWS,joint force commander's electronic warfare staff
JCISA,Joint Command Information Systems Activity
JCIU,joint counterintelligence unit
JCMA,joint communications security monitoring activity
JCMB,joint collection management board 
JCMEB,joint civil-military engineering board
JCMEC,joint captured materiel exploitation center
JCMO,joint communications security management office
JCMOTF,joint civil-military operations task force
JCMS,Joint Construction Management System
JCN,joint communications network
JCRM,Joint Capabilities Requirements Manager
JCS,Joint Chiefs of Staff
JCSB,joint contracting support board
JCSE,joint communications support element
JDAM,Joint Direct Attack Munition
JDAT,joint deployable analysis team
JDD,joint doctrine distribution
JDDC,joint doctrine development community
JDDE,joint deployment and distribution enterprise
JDDOC,joint deployment and distribution operations center
JDDT,joint doctrine development tool
JDEC,joint document exploitation center
JDEIS,"Joint Doctrine, Education, and Training Electronic Information System"
JDIGS,Joint Digital Information Gathering System
JDISS,joint deployable intelligence support system
JDN,joint data network
JDNC,joint data network operations cell
JDNO,joint data network operations officer
JDOMS,Joint Director of Military Support
JDPC,Joint Doctrine Planning Conference
JDPI,joint desired point of impact
JDPO,joint deployment process owner
JDTC,Joint Deployment Training Center
JECC,Joint Enabling Capabilities Command (USTRANSCOM)
JED,Joint Education and Doctrine
JEDD,Joint Education and Doctrine Division
JEFF,Joint Expeditionary Forensic Facility (Army)
JEL,Joint Electronic Library
JEL+,Joint Electronic Library Plus
JEMB,joint environmental management board
JEMSMO,joint electromagnetic spectrum management operations
JEMSO,joint electromagnetic spectrum operations
JENM,joint enterprise network manager
JEODOC,joint explosives ordnance disposal operations center
JEODTF,joint explosives ordnance disposal task force
JEP,Joint Exercise Program
JEPES,Joint Engineer Planning and Execution System
JET,joint expeditionary team
JEWC,Joint Electronic Warfare Center
JEWCS,Joint Electronic Warfare Core Staff (NATO)
JEZ,joint engagement zone
JFACC,joint force air component commander
JFAST,Joint Flow and Analysis System for Transportation
JFC,joint force commander
JFCC,joint functional component command
JFCC-GS,Joint Functional Component Command for Global Strike
JFCC-IMD,Joint Functional Component Command for Integrated Missile Defense
JFCC-ISR,"Joint Functional Component Command for Intelligence, Surveillance, and Reconnaissance (USSTRATCOM)"
JFCC-Space,Joint Functional Component Command for Space (USSTRATCOM)
JFCC NW,"Joint Functional Component Command for Network Warfare 		"
JFCH,joint force chaplain
JFE,joint fires element
JFHQ,joint force headquarters
JFHQ-NCR,Joint Force Headquarters-National Capital Region
JFHQ-State,joint force headquarters-state
JFLCC,joint force land component commander
JFMC,joint fleet mail center
JFMCC,joint force maritime component commander
JFMO,joint frequency management office
JFO,joint field office
JFP,joint force provider
JFRG II,joint force requirements generator II
JFS,joint force surgeon
JFSOCC,joint force special operations component commander
JFTR,joint Federal travel regulations
JFUB,joint facilities utilization board
JGWE,joint global warning enterprise
JHNS,Joint Hometown News Service
JHSV,joint high-speed vessel
JIA,joint individual augmentation
JIACG,joint interagency coordination group
JIATF,joint interagency task force
JIATF-S,Joint Interagency Task Force-South
JIATF-W,Joint Interagency Task Force-West
JIC,joint information center
JICC,joint interface control cell
JICO,joint interface control officer
JIDC,joint interrogation and debriefing center
JIDO,Joint Improvised-Threat Defeat Organization (DTRA)
JIEE,Joint Information Exchange Environment
JIEP,joint intelligence estimate for planning
JIMB,joint information management board
JIMPP,joint industrial mobilization planning process
JIO,joint interrogation operations
JIOC,joint intelligence operations center
JIOC-SOUTH,"Joint Intelligence Operations Center, South"
JIOC-TRANS,Joint Intelligence Operations Center–Transportation (USTRANSCOM)
JIOCPAC,"Joint Intelligence Operations Center, Pacific"
JIOWC,Joint Information Operations Warfare Center
JIPCL,joint integrated prioritized collection list
JIPOE,joint intelligence preparation of the operational environment
JIPTL,joint integrated prioritized target list
JIS,joint information system
JISE,joint intelligence support element
JITF-CT,Joint Intelligence Task Force for Combating Terrorism
JIVU,Joint Intelligence Virtual University
JKnIFE,Joint Improvised Explosive Device Defeat Organization Knowledge and Information Fusion Exchange 
JLCC,joint lighterage control center
JLE,joint logistics environment
JLEnt,joint logistics enterprise
JLLIS,Joint Lessons Learned Information System
JLLP,Joint Lessons Learned Program
JLOA,joint logistics over-the-shore operation area
JLOC,joint logistics operations center
JLOTS,joint logistics over-the-shore
JLRC,joint logistics readiness center
JLSB,joint line of communications security board
JLSE,joint legal support element
JMAC,Joint Mortuary Affairs Center (Army)
JMAO,joint mortuary affairs office
JMAR,joint medical asset repository
JMAT,joint medical analysis tool
JMC,joint movement center
JMCC,joint meteorological and oceanographic coordination cell
JMCG,joint movement control group
JMCO,joint meteorological and oceanographic coordination organization
JMD,joint manning document
JMEEL,joint mission-essential equipment list
JMEM,Joint Munitions Effectiveness Manual
JMET,joint mission-essential task
JMETL,joint mission-essential task list
JMIC,joint modular intermodal container
JMICS,Joint Worldwide Intelligence Communications System mobile integrated communications system
JMIE,joint maritime information element
JMIP,joint military intelligence program
JMISTF,joint military information support task force
JMITC,Joint Military Intelligence Training Center
JMMT,joint military mail terminal
JMO,joint maritime operations
JMOC,joint medical operations center
JMP,joint manpower program
JMPA,joint military postal activity
JMPAB,Joint Materiel Priorities and Allocation Board
JMPS,Joint Mission Planning System
JMPT,Joint Medical Planning Tool
JMRR,Joint Monthly Readiness Review
JMS,Joint Space Operations Center Mission System
JMTCA,joint munitions transportation coordinating activity
JMUA,Joint Meritorious Unit Award
JMWG,joint medical working group
JNCC,joint network operations control center
JNMS,joint network management system
JNSC,Joint Navigation Warfare Center Navigation Warfare Support Cell
JNWC,Joint Navigation Warfare Center
JOA,joint operations area
JOAF,joint operations area forecast
JOC,joint operations center
JOCC,joint operations command center
JOERAD,joint spectrum center ordnance electomagnetic environmental effects risk assessment database
JOG,joint operations graphic
JOPES,Joint Operation Planning and Execution System
JOPG,joint operations planning group
JOPP,joint operation planning process
JOPPA,joint operation planning process for air
JOSE,Joint Operations Security Support Element (Joint Staff)
JOTC,joint operations tasking center
JP,joint publication
JP4,"jet propulsion fuel, type 4"
JP5,"jet propulsion fuel, type 5"
JP8,"jet propulsion fuel, type 8"
JPAC,joint planning augmentation cell
JPADS,joint precision airdrop system
JPAG,Joint Planning Advisory Group
JPARR,joint personnel accountability reconciliation and reporting
JPASE,joint public affairs support element
JPC,joint postal cell
JPEC,joint planning and execution community
JPED,joint personal effects depot
JPEG,Joint Photographic Experts Group
JPERSTAT,joint personnel status and casualty report
JPG,joint planning group
JPME,joint professional military education
JPMRC,joint patient movement requirements center
JPN,joint planning network
JPO,joint petroleum office
JPOC,joint personnel operations center
JPP,joint planning process
JPPC,joint personnel processing center
JPRA,Joint Personnel Recovery Agency
JPRC,joint personnel recovery center
JPSE,Joint Planning Support Element (USTRANSCOM)
JPTTA,joint personnel training and tracking activity
JRC,joint reconnaissance center
JRCC,joint reception coordination center
JRERP,Joint Radiological Emergency Response Plan
JRFL,joint restricted frequency list
JRIC,joint reserve intelligence center
JRIP,Joint Reserve Intelligence Program
JROC,Joint Requirements Oversight Council
JRRB,joint requirements review board
JRS,joint reporting structure
JRSOI,"joint reception, staging, onward movement, and integration"
JRTC,joint readiness training center
JS,Joint Staff
JSA,joint security area
JSAM,Joint Service Achievement Medal
JSAP,Joint Staff action processing
JSC,joint security coordinator
JSCC,joint security coordination center
JSCM,Joint Service Commendation Medal
JSCP,Joint Strategic Campaign Plan
JSDS,Joint Staff doctrine sponsor
JSETS,Joint Search and Rescue Satellite-Aided Tracking Electronic Tracking System
JSF,joint support force
JSHO,joint shipboard helicopter operations
JSIR,joint spectrum interference resolution
JSIVA,Joint Staff Integrated Vulnerability Assessment
JSME,joint spectrum management element
JSO,joint security operations
JSOA,joint special operations area
JSOAC,joint special operations air component
JSOACC,joint special operations air component commander
JSOC,joint special operations command
JSOTF,joint special operations task force
JSOU,Joint Special Operations University
JSPA,joint satellite communications panel administrator
JSPOC,Joint Space Operations Center
JSPS,Joint Strategic Planning System
JSR,joint strategy review
JSTARS,Joint Surveillance Target Attack Radar System
JSTO,joint space tasking order
JTA,joint technical architecture
JTAC,joint terminal attack controller
JTAIC,Joint Technical Analysis and Integration Cell (Army)
JTAR,joint tactical air strike request
JTB,Joint Transportation Board
JTCB,joint targeting coordination board
JTCC,joint transportation coordination center
JTCOIC,Joint Training Counter-Improvised Explosive Device Operations Integration Center
JTD,joint table of distribution
JTF,joint task force
JTF-AK,Joint Task Force-Alaska
JTF-CM,joint task force - consequence management
JTF-GNO,Joint Task Force-Global Network Operations
JTF-HD,Joint Task Force-Homeland Defense
JTF-N,Joint Task Force-North
JTF-PO,joint task force-port opening
JTF-State,joint task force-state
JTFCEM,joint task force contingency engineering management
JTF-CS,Joint Task Force-Civil Support
JTF-MAO,joint task force - mortuary affairs office
JTIDS,Joint Tactical Information Distribution System
JTL,joint target list
JTLM,joint theater logistics management
JTMD,joint table of mobilization and distribution
JTMS,joint theater movement staff
JTP,joint test publication
JTR,Joint Travel Regulations
JTS,Joint Training System
JTSCC,joint theater support contracting command
JTTF,joint terrorism task force
JTWG,joint targeting working group
JU,Joint Tactical Information Distribution System unit
JUH-MTF,Joint User Handbook-Message Text Formats
JUIC,joint unit identification code
JUO,joint urban operation
JUON,joint urgent operational need
JVB,joint visitors bureau
JWAC,Joint Warfare Analysis Center
JWG,joint working group
JWICS,Joint Worldwide Intelligence Communications System
k,thousand
Ka,Kurtz-above band
kbps,kilobits per second
kg,kilogram
K-Kill,catastrophic kill
KLE,key leader engagement
km,kilometer
kph,kilometers per hour
KQ ID,tactical location identifier
kt,kiloton(s)
Ku,Kurtz-under band
kW,kilowatt
L-EWE,land-electronic warfare element
LA,lead agent
LAD,latest arrival date
LAN,local area network
LARC,"lighter, amphibious resupply, cargo"
LARC-V,"lighter, amphibious resupply, cargo, 5 ton"
LASH,lighter aboard ship
LAV,light armored vehicle
lb,pound
lbs.,pounds
LC,legal counsel
LCAC,"landing craft, air cushion"
LCADS,low-cost aerial delivery system
LCC,amphibious command ship
LCE,logistics combat element (USMC)
LCM,"landing craft, mechanized"
LCO,landing craft air cushion control officer
LCP,lighterage control point
LCS,landing craft air cushion control ship
LCU,"landing craft, utility"
LD,light damage
LDA,limited depository account
LDO,laser designator operator
LDR,low data rate
LE,law enforcement
LEA,law enforcement agency
LEC,lead environmental component
LED,light emitting diode
LEDET,law enforcement detachment (USCG)
LEGAT,legal attaché
LEIP,Law Enforcement Intelligence Program (USCG)
LEMP,low-altitude electromagnetic pulse
LEO,law enforcement operations
LEP,law enforcement professional
LF,landing force
LFA,lead federal agency
LFOC,landing force operations center
LFORM,landing force operational reserve material
LFSP,landing force support party
LG,deputy chief of staff for logistics
LGB,laser-guided bomb
LGM,laser-guided missile
LGW,laser-guided weapon
LHA,amphibious assault ship (general purpose)
LHD,amphibious assault ship (multipurpose)
LIDAR,light detection and ranging
LIMDIS,limited distribution
LIPS,Logistics Information Processing System
LJDAM,laser-guided joint direct attack munition
LL,lessons learned
LLLTV,low-light level television
LLTR,low-level transit route
LMARS,Logistics Metrics Analysis Reporting System
LMSR,"large, medium-speed roll-on/roll-off"
LN,lead nation
LNI,Library of National Intelligence
LNO,liaison officer
LO/LO,lift-on/lift-off
LO/RO,lift-on/roll-off
LOA,letter of assist
LOAC,law of armed conflict
LOAL,lock-on after launch
LOBL,lock-on before launch
LOC,line of communications
LOD,line of departure
LOE,letter of evaluation
LOG,logistics
LOGCAP,logistics civil augmentation program (Army)
LOI,letter of instruction
LOMEZ,low-altitude missile engagement zone
LOO,line of operation
LOR,launch on remote
LOS,line of sight
LOTS,logistics over-the-shore
LOX,liquid oxygen
LPD,amphibious transport dock
LPI,low probability of intercept
LRC,logistics readiness center
LRF,laser range finder
LRN,Laboratory Response Network (DHHS)
LRO,lighterage repair officer
LRP,load and roll pallet
LRST,long-range surveillance team
LRT,logistics response time
LSA,logistic support analysis
LSC,lead Service for contracting
LSCC,lead Service for contracting coordination
LSD,dock landing ship
LSE,landing signalman enlisted
LSO,landing signals officer
LSS,laser spot search
LST,laser spot tracker
LSV,logistics support vessel
LT,long ton
LTD,laser target designator
LTF,logistics task force
LTIOV,latest time information is of value
LTL,laser-to-target line
LZ,landing zone
M,million
M&E,monitoring and evaluation
MA,mortuary affairs
MAAG,military assistance advisory group
MAAP,master air attack plan
MAC,mobility assault company
MACB,multinational acquisition and contracting board
MACCS,Marine air command and control system
MACG,Marine air control group
MACP,mortuary affairs collection point
MACRMS,mortuary affairs contaminated remains mitigation site
MACS,Marine air control squadron
MAF,mobility air forces
MAG,Marine aircraft group
MAGTF,Marine air-ground task force
MAGTFACE,Marine air-ground task force aviation combat element
MAJCOM,major command (USAF)
MANPADS,man-portable air defense system
MAOC-N,Maritime Analysis and Operations Center-Narcotics
MAP,Military Assistance Program
MARAD,Maritime Administration
MARAD RRF,Maritime Administration Ready Reserve Force
MARCORLOGCOM,Marine Corps Logistics Command
MARDIV,Marine division
MARFOR,Marine Corps forces
MARFORSTRAT,"United States Marine Corps Forces, United States Strategic Command"
MARINCEN,Maritime Intelligence Center
Marine TACC,Marine Corps tactical air command center
MARLE,Marine liaison element
MARO,mass atrocity response operations
MARPOL,International Convention for the Prevention of Pollution from Ships
MARS,Military Auxiliary Radio System
MARSOC,"United States Marine Corps Forces, Special Operations Command"
MARSOF,Marine Corps special operations forces
MARTS,Mortuary Affairs Reporting and Tracking System
MAS,maritime air support
MASCAL,mass casualty
MASF,mobile aeromedical staging facility
MASINT,measurement and signature intelligence
MASLO,measurement and signature intelligence liaison officer
MAST,mobile ashore support terminal
MAW,Marine aircraft wing
MAXORD,maximum ordinate
Mbps,megabytes per second
MC,Military Committee (NATO)
MC/FI,mass casualty/fatality incident
MC4EB,"Military Command, Control, Communications and Computers Executive Board"
MCA,mail control activity
MCAG,maritime civil affairs group
MCAS,Marine Corps air station
MCAST,maritime civil affairs and security training
MCAT,maritime civil affairs team
MCB,movement control battalion
MCC,Marine component commander
MCCDC,Marine Corps Combat Development Command
MCD,medical crew director
MCDP,Marine Corps doctrinal publication
MCEB,Military Communications-Electronics Board
MCESG,Marine Corps Embassy Security Group
MCI,multinational communications integration
MCIA,Marine Corps Intelligence Activity
MCIO,military criminal investigative organization
MCIOC,Marine Corps Information Operations Center
MCIP,Marine Corps interim publication
MCM,maneuver control measure
MCMC,mine countermeasures commander
MCMO,medical civil-military operations
MCMOPS,mine countermeasures operations
MCMREP,mine countermeasure report
MCMRON,mine countermeasures squadron
MCO,major combat operation
MCOO,modified combined obstacle overlay
MCRP,Marine Corps reference publication
MCS,modular causeway system
MCSB,Marine Cryptologic Support Battalion 
MCSFR,Marine Corps Security Force Regiment
MCT,movement control team
MCTOG,Marine Corps Tactics and Operations Group
MCTP,Marine Corps tactical publication
MCWL,Marine Corps Warfighting Lab
MCWP,Marine Corps warfighting publication
MCX,Marine Corps Exchange
MD,missile defense
MDA,maritime domain awareness
MDBS,blood support medical detachment
MDCO,Military Department counterintelligence organization
MDDOC,Marine air-ground task force deployment and distribution operations center
MDM,maritime defense measure
MDMA,methylenedioxymethamphetamine
MDO,military deception officer
MDRO,mission disaster response officer
MDS,Message Dissemination Subsystem
MDSS II,Marine air-ground task force Deployment Support System II
MDSU,mobile diving and salvage unit
ME/C,medical examiner and/or coroner
MEA,munitions effect assessment
MEB,maneuver enhancement brigade
MEDCC,medical coordination cell
MEDCOM,US Army Medical Command
MEDCOM (DS),medical command (deployment support) (Army)
MEDEVAC,medical evacuation
MEDINT,medical intelligence
MEDLOG,medical logistics (USAF AIS)
MEDLOG support,medical logistics support
MEDNEO,medical noncombatant evacuation operation
MEF,Marine expeditionary force
MEJA,Military Extraterritorial Jurisdiction Act
MEO,medium Earth orbit
MEP,mobile electric power
MESF,maritime expeditionary security force
MESFC,maritime expeditionary security force commander
MESO,maritime expeditionary security operations
MET,mobile environmental team
METCON,control of meteorological information (roughly translated from French)
METL,mission-essential task list
METOC,meteorological and oceanographic
METSAT,meteorological satellite
METT-T,"mission, enemy, terrain and weather, troops and support available--time available"
METT-TC,"mission, enemy, terrain and weather, troops and support available-time available and civil considerations (Army)"
METWATCH,meteorological watch
MEU,Marine expeditionary unit
MEVA,mission essential vulnerable area
MEZ,missile engagement zone
MF,mobile facility
MFC,multinational force commander
MFE,mobile field exchange
MFO,multinational force and observers
MGRS,military grid reference system
MGW,maximum gross weight
MHD,maritime homeland defense
MHE,materials handling equipment
MHS,maritime homeland security
MHz,megahertz
MI,military intelligence
MIA,missing in action
MIB,Military Intelligence Board
MIC,Multinational Interoperability Council
MIDAS,model for intertheater deployment by air and sea
MIDB,modernized integrated database
MIL-STD,military standard
MILAIR,military airlift
MILALOC,military air line of communications
MILCO,minelike contact
MILCON,military construction
MILDEC,military deception
MILDEP,Military Department
MILSATCOM,military satellite communications
MILSPEC,military specification
MILSTAMP,military standard transportation and movement procedures
MILSTRAP,military standard transaction reporting and accounting procedure
MILSTRIP,military standard requisitioning and issue procedure
MILTECH,military technician
MILU,multinational integrated logistic unit
MILVAN,military van (container)
MIMP,Mobilization Information Management Plan
MIO,maritime interception operations
MIOC,maritime interception operations commander
MIP,military intelligence program
MIPOE,medical intelligence preparation of the operational environment
MIPR,military interdepartmental purchase request
MIR,multisensor imagery reconnaissance
MIRCS,mobile integrated remains collection system
MIS,military information support
MISG,military information support group
MISO,military information support operations
MISREP,mission report
MIST,military information support team
MISTF,military information support task force
MITAM,mission tasking matrix
MIW,mine warfare
MIWC,mine warfare commander
MIWG,multinational interoperability working group
MJLC,multinational joint logistic center
M-Kill,mobility kill
MLA,mission load allowance
MLEA,Maritime Law Enforcement Academy
MLEM,Maritime Law Enforcement Manual
MLG,Marine logistics group
MLI,munitions list item
MLMC,medical logistics management center
MLP,mobile landing platform
MLRS,multiple launch rocket system
MLS,multilevel security
MLSA,mutual logistics support agreement
MLW,mean low water
MMAC,military mine action center
MMG,Department of Defense Master Mobilization Guide
MMS,marine mammal system
MNC,multinational corporation
MNCC,multinational coordination center
MNEODCC,multinational explosives ordnance disposal control center
MNF,multinational force
MNFACC,multinational force air component commander
MNFC,multinational force commander
MNFLCC,multinational force land component commander
MNFMCC,multinational force maritime component commander
MNFSOCC,multinational force special operations component commander
MNJLC,multinational joint logistics component
MNL,master net list
MNLC,multinational logistic center
MNS,mission needs statement
MNTF,multinational task force
MOA,memorandum of agreement
MOB,main operating base
MOBREP,military manpower mobilization and accession status report
MOC,maritime operations center
MOD,ministry of defense
Mod,model
MODA,ministry of defense advisor
MOE,measure of effectiveness
MOEI,measure of effectiveness indicator
MOG,maximum (aircraft) on ground
MOGAS,motor gasoline
MOMAT,mobility matting
MOP,measure of performance
MOPP,mission-oriented protective posture
MOS,military occupational specialty
MOSC,meteorological and oceanographic operations support community
MOTR,maritime operational threat response
MOU,memorandum of understanding
MOVREP,movement report
MP,military police (Army and Marine)
MPA,maritime patrol aircraft
MPAT,military patient administration team
MPE/S,maritime pre-positioning equipment and supplies
MPF,maritime pre-positioning force
MPFUB,maritime pre-positioning force utility boat
mph,miles per hour
MPICE,measuring progress in conflict environments
MPNTP,Master Positioning Navigation and Timing Plan
MPO,military post office
MPP,maritime procedural publication
MPR,maritime patrol and reconnaissance
MPS,maritime pre-positioning ship
MPSA,Military Postal Service Agency
MPSRON,maritime pre-positioning ships squadron
MR,milliradian
MRAT,medical radiobiology advisory team
MRBM,medium-range ballistic missile
MRI,magnetic resonance imaging
MRO,mass rescue operation
MRR,minimum-risk route
MRS,measurement and signature intelligence (MASINT) requirements system
MRT,maintenance recovery team
MRX,mission readiness exercise
MS,Microsoft
MSA,Maritime Security Act
MSC,major subordinate command
MSCA,military support to civilian authorities
MSCAT,maritime security center augment team
MSCO,Military Sealift Command Office
MSD,mobile security division
MSE,mission support element
MSF,mission support force
MSG,Marine security guard
MSGID,message identification
MSHARPP,"mission, symbolism, history, accessibility, recognizability, population, and proximity"
MSI,modified surface index
MSIC,Missile and Space Intelligence Center
MSL,mean sea level
MSO,map support office
MSOAG,Marine special operations advisor group
MSOC,Marine special operations company
MSOR,Marine Special Operations Regiment
MSP,Maritime Security Program
MSR,main supply route
MSRP,mission strategic resource plan
MSRT,Maritime Security Response Team (USCG)
MSST,maritime safety and security team
MST,mission support team
MTAB,Military Technical Acceptance Board
MTAC,Multiple Threat Alert Center (DON)
MT Bn,motor transport battalion
MTCR,Missile Technology Control Regime
mtDNA,mitochondrial deoxyribonucleic acid
MTF,medical treatment facility
MTN,multi-tactical data link network
MTO,mission type order
MTON,measurement ton
MTP,Marine tactical publication
MTS,Marine tactical system
MTW,major theater war
MUOS,Mobile Users Object System
MUSE,mobile utilities support equipment
MV,merchant vessel
MWC,Missile Warning Center (USSTRATCOM)
MWD,military working dog
MWG,mobilization working group
MWR,"morale, welfare, and recreation"
MWSD,Marine wing support detachment
MWSG,Marine wing support group
MWSS,Marine wing support squadron
MWT,modular warping tug
N-2,Director of Naval Intelligence
N-6,Director of Naval Communications Networks
NA5CRO,non-Article 5 crisis response operation (NATO)
NAC,North Atlantic Council (NATO)
NAD 83,North American Datum 1983
NADR,"nonproliferation, antiterrorism, demining, and related programs"
NAE,Navy acquisition executive
NAEC-ENG,Naval Air Engineering Center - Engineering
NAF,nonappropriated funds
NAI,named area of interest
NALC,Navy ammunition logistics code
NALE,naval and amphibious liaison element
NALSS,naval advanced logistic support site
NAMS,National Air Mobility System
NAR,nonconventional assisted recovery
NARAC,national atmospheric release advisory capability
NARP,Nuclear Weapon Accident Response Procedures
NAS,naval air station
NASA,National Aeronautics and Space Administration
NASIC,National Air and Space Intelligence Center
NATO,North Atlantic Treaty Organization
NATOPS,Naval Air Training and Operating Procedures Standardization
NAVAIDS,navigational aids
NAVAIR,Naval Air Systems Command
NAVCYBERFOR,Navy Cyber Forces
NAVELSG,Navy expeditionary logistics support group
NAVEODTECHDIV,Naval Explosives Ordnance Disposal Technology Division
NAVFAC,Naval Facilities Engineering Command
NAVFACENGCOM,Naval Facilities Engineering Command
NAVFAC EXWC,Naval Facilities Engineering and Expeditionary Warfare Center
NAVFOR,Navy forces
NAVMTO,Navy Material Transportation Office
NAVOCEANO,Naval Oceanographic Office
NAVSAT,navigation satellite
NAVSCOLEOD,Naval School Explosive Ordnance Disposal
NAVSEA,Naval Sea Systems Command
NAVSEAINST,Naval Sea Systems Command instruction
NAVSOC,Naval Satellite Operations Center
NAVSOF,Navy special operations forces
NAVSPACECOM,Naval Space Command
NAVSPECWARCOM,Naval Special Warfare Command
NAVSUP,Naval Supply Systems Command
NAVWAR,navigation warfare
Navy TACC,Navy tactical air control center
NAWCAD,"Naval Air Warfare Center, Aircraft Division"
NBC,"nuclear, biological, and chemical"
NBG,naval beach group
NBI,nonbattle injury
NBVC,Naval Base Ventura County
NCAGS,naval cooperation and guidance for shipping
NCAPS,naval coordination and protection of shipping
NCB,noncompliant boarding
NCC,Navy component command
NCCS,Nuclear Command and Control System
NCDC,National Climatic Data Center
NCES,Net-Centric Enterprise Services
NCESGR,National Committee of Employer Support for the Guard and Reserve
NCF,naval construction force
NCG,naval construction group
NCH,natural and cultural resources and historic properties (DOI)
NCHB,Navy cargo-handling battalion
NCIJTF-AG,National Cyber Investigative Joint Task Force-Analytical Group (DOD)
NCIS,Naval Criminal Investigative Service
NCIX,National Counterintelligence Executive
NCMI,National Center for Medical Intelligence
NCMP,Navy Capabilities and Mobilization Plan
NCO,noncombat operations
NCOIC,noncommissioned officer in charge
NCOS,naval control of shipping
NCP,National Oil and Hazardous Substances Pollution Contingency Plan
NCPC,National Counterproliferation Center
NCR,National Capital Region (US)
NCR-IADS,National Capital Region-Integrated Air Defense System
NCRCC,National Capital Region Coordination Center
NCRDEF,national cryptologic representative defense
NCS,National Clandestine Service
NCSC,National Counterintelligence and Security Center
NCSD,National Cyber Security Division (DHS)
NCTC,National Counterterrorism Center
NDAA,national defense authorization act
NDAF,"Navy, Defense Logistics Agency, Air Force"
NDB,nondirectional beacon
NDCS,national drug control strategy
NDDOC,North American Aerospace Defense Command and United States Northern Command Deployment and Distribution Operations Cell
NDHQ,"National Defence Headquarters, Canada"
NDIC,National Defense Intelligence College
NDMS,National Disaster Medical System (DHHS)
NDP,national disclosure policy
NDPC,National Disclosure Policy Committee
NDRC,National Detainee Reporting Center
NDRF,National Defense Reserve Fleet
NDSF,National Defense Sealift Fund
NDT,nuclear disablement team
NDU,National Defense University
NEA,Northeast Asia
NEAT,naval embarked advisory team
NEC,National Economic Council
NECC,Navy Expeditionary Combat Command
NEIC,Navy Expeditionary Intelligence Command
NELR,Navy expeditionary logistics regiment
NEO,noncombatant evacuation operation
NEOCC,noncombatant evacuation operation coordination center
NEP,National Exercise Program
NEPA,National Environmental Policy Act
NES,National Exploitation System
NESDIS,"National Environmental Satellite, Data and Information Service (DOC)"
NEST,nuclear emergency support team (DOE)
NETWARCOM,Naval Network Warfare Command
NEW,net explosive weight
NFA,no-fire area
NFC,numbered fleet commander
NFELC,Naval Facilities Expeditionary Logistics Center
NFESC,Naval Facilities Engineering Service Center
NFI,national foreign intelligence
NFIB,National Foreign Intelligence Board
NFIP,National Flood Insurance Program (FEMA)
NFLS,naval forward logistic site
NG,National Guard
NGA,National Geospatial-Intelligence Agency
NGB,National Guard Bureau
NGB-OC,National Guard Bureau-Office of the Chaplain
NGCC,National Guard Coordination Center
NGCDP,National Guard Counterdrug Program
NGCSP,National Guard Counterdrug Support Program
NGFS,naval gunfire support
NGIC,National Ground Intelligence Center
NG JFHQ-State,National Guard joint force headquarters-state
NGLO,naval gunfire liaison officer
NGO,nongovernmental organization
NGP,National Geospatial-Intelligence Agency Program
NHMD,National Human Intelligence Manager directive
