Definition,Acronym
Integrated Booking System; integrated broadcast service; Integrated Broadcast System,IBS
Integrated Broadcast Service-Interactive ,IBS-I
Integrated Broadcast Service-Simplex,IBS-S
incident commander; intelligence community,IC
"integrated command, control, and communications",IC3
Interagency Conflict Assessment Framework (DOS),ICAF
International Civil Aviation Organization,ICAO
interagency conflict assessment team,ICAT
intercontinental ballistic missile,ICBM
"international chemical, biological, radiological, and nuclear response",ICBRN-R
information coordination center; Intelligence Coordination Center (USCG); International Criminal Court,ICC
improved container delivery system,ICDS
Immigration and Customs Enforcement (DHS),ICE
Incident Communications Emergency Policy and Procedures,ICEPP
Intelligence Community Executive Committee,IC/EXCOM
intelligence contingency funds,ICF
integrated consumable item support,ICIS
International Criminal Investigative Training Assistance Program (DOJ),ICITAP
International Court of Justice,ICJ
image city map,ICM
Integrated Computerized Deployment System,ICODES
intertheater communications security package; inventory control point,ICP
Intelligence Collection Requirements,ICR
International Committee of the Red Cross,ICRC
incident command system; integrated country strategy,ICS
information and communications technology,ICT
intensive care unit,ICU
International Council of Voluntary Agencies,ICVA
in coordination with,ICW
identification; identifier; initiating directive,ID
internal defense and development,IDAD
Automated Biometric Identification System (DHS),IDENT
indirect fire,IDF
indefinite delivery/indefinite quantity,ID/IQ
integrated distribution lane,IDL
improved data modem; information dissemination management,IDM
imagery derived product; imminent danger pay; internally displaced person,IDP
infectious disease risk assessment,IDRA
Integrated Defense Source Registration System,IDSRS
improvised explosive device,IED
Institute of Electrical and Electronics Engineers,IEEE
installation emergency management,IEM
information exchange requirement,IER
intelligence fusion center,IFC
"identification, friend or foe",IFF
integrated financial operations; intermediate fuel oil,IFO
integrated force package,IFP
instrument flight rules,IFR
International Federation of Red Cross and Red Crescent Societies,IFRC
inspector general,IG
Integrated Data Environment/Global Transportation Network Convergence,IGC
intelligence gain/loss,IGL
international humanitarian community,IHC
industrial hygiene officer,IHO
international health specialist,IHS
Interagency Intelligence Committee on Counterterrorism,IICT
Bureau of International Information Programs (DOS); interagency implementation plan,IIP
intelligence information report,IIR
Bureau of International Labor Affairs (DOL),ILAB
in lieu of; International Labor Organization (UN),ILO
integrated line of communications,ILOC
integrated logistic support,ILS
information management; intermediate module,IM
individual mobilization augmentee,IMA
Interagency Modeling and Atmospheric Assessment Center,IMAAC
instrument meteorological conditions,IMC
international maritime dangerous goods (UN),IMDG
international military education and training,IMET
International Monetary Fund (UN),IMF
imagery intelligence,IMINT
integrated materiel management; intelligence mission management,IMM
information management officer; International Maritime Organization,IMO
information management plan; inventory management plan,IMP
integrated mission planning process,IMPP
integrated mission planning team,IMPT
individual material requirements list,IMRL
information management system; interagency management system; Interagency Management System for Reconstruction and Stabilization,IMS
information management support plan,IMSP
integrated mission task force,IMTF
International Narcotics Control and Law Enforcement (DOS),INCLE
improvised nuclear device,IND
"Interagency Combating Weapons of Mass Destruction Database of Responsibilities, Authorities, and Capabilities",INDRAC
inflight report,INFLTREP
information operations condition,INFOCON
Bureau of International Narcotics and Law Enforcement Affairs (DOS),INL
improved Navy lighterage system,INLS
international narcotics matters,INM
international maritime satellite,INMARSAT
Bureau of Intelligence and Research (DOS),INR
inertial navigation system,INS
International Search and Rescue Advisory Group,INSARAG
United States Army Intelligence and Security Command,INSCOM
International Telecommunications Satellite Organization,INTELSAT
American Council for Voluntary International Action,InterAction
International Criminal Police Organization,INTERPOL
International Criminal Police Organization United States National Central Bureau (DOJ),INTERPOL-USNCB
information operations,IO
intelligence oversight board,IOB
information operations coordination board,IOCB
information operations intelligence integration,IOII
International Organization for Migration,IOM
Interagency Operations Security Support Staff,IOSS
information operations wing,IOW
information operations working group,IOWG
initial point; initial position; intelligence planning; Internet protocol,IP
intelligence production agency,IPA
intelligence preparation of the battlespace,IPB
integration planning cell; interagency planning cell; interagency policy committee,IPC
inland petroleum distribution plan,IPDP
inland petroleum distribution system (Army),IPDS
individual protective equipment,IPE
isolated personnel guidance,IPG
indigenous populations and institutions,IPI
intelligence preparation of the operational environment,IPOE
impact point prediction,IPP
in-progress review,IPR
plan approval in-progress review,IPR F
Integrated Planning System (DHS); Interim Polar System,IPS
integrated planning team; Integrated Product Team; intelligence planning team,IPT
incident report; information requirement; infrared; intelligence requirement,IR
Provisional Irish Republican Army,IRA
Interdepartment Radio Advisory Committee (DOC),IRAC
intermediate-range ballistic missile,IRBM
information-related capability; internet relay chat,IRC
infrared countermeasures,IRCM
infrared pointer,IR pointer
Individual Ready Reserve,IRR
Internal Revenue Service,IRS
interagency remote sensing coordination cell,IRSCC
Intelligence Reform and Terrorism Prevention Act,IRTPA
information superiority; information system,IS
individual Service augmentee; international standardization agreement,ISA
information sharing and analysis center,ISAC
International Security Assistance Force,ISAF
intermediate staging base,ISB
Integrated Mission Support for Surface Deployment and Distribution Command,ISDDC
information sharing environment,ISE
isolated soldier guidance,ISG
"identify, separate, isolate, influence, and reintegrate",ISI2R
Islamic State of Iraq and the Levant,ISIL
Bureau of International Security and Nonproliferation (DOS); internment serial number ,ISN
International Organization for Standardization; isolation,ISO
International Organization for Standardization package,ISOPAK
isolated personnel report,ISOPREP
"intelligence, surveillance, and reconnaissance",ISR
"intelligence, surveillance, and reconnaissance division",ISRD
"intelligence, surveillance, and reconnaissance liaison officer (USAF)",ISRLO
"Intelligence, Surveillance, and Reconnaissance Wing",ISR WG
in-system select,ISS
internal airlift or helicopter slingable container unit,ISU
information system technician; information technology,IT
International Trade Administration (DOC),ITA
intelligence task force (DIA),ITF
intelligence task list,ITL
installation transportation officer,ITO
International Telecommunications Union,ITU
in-transit visibility,ITV
integrated tactical warning and attack assessment,ITW/AA
intravenous,IV
irregular warfare,IW
information operations warfare commander,IWC
intelligence working group; interagency working group,IWG
inland waterway,IWW
inland waterway system,IWWS
manpower and personnel directorate of a joint staff,J-1
intelligence directorate of a joint staff,J-2
joint force exploitation staff element,J-2E
joint force counterintelligence and human intelligence staff element,J-2X
operations directorate of a joint staff,J-3
Joint Force Coordinator (Joint Staff),J-31
future operations cell,J-35
"Joint Staff, Deputy Director for Global Operations",J-39 DDGO
logistics directorate of a joint staff,J-4
plans directorate of a joint staff,J-5
communications system directorate of a joint staff,J-6
engineering staff section of a joint staff; Joint Staff Directorate for Joint Force Development; operational plans and interoperability directorate of a joint staff; training directorate of a joint staff,J-7
"Joint Staff Directorate for Force Structure, Resource, and Assessment; force structure, resource, and assessment directorate of a joint staff",J-8
civil-military operations directorate of a joint staff,J-9
deputy directorate for targets of a joint staff,J-2T
judge advocate,JA
joint airborne and air transportability training,JA/ATT
Joint After-Action Reporting System,JAARS
joint air attack team,JAAT
joint analysis center,JAC
joint air component coordination element,JACCE
joint air coordination element,JACE
joint automated communication-electronics operating instructions system,JACS
Joint Air Defense Operations Center (NORAD),JADOC
Joint Automated Deep Operations Coordination System,JADOCS
judge advocate general,JAG
joint air-ground integration center,JAGIC
Joint Asset Movement Management System,JAMMS
joint air operations center,JAOC
joint air operations plan,JAOP
joint air request net,JARN
joint air-to-surface standoff missile,JASSM
joint assessment team,JAT
joint blood program office,JBPO
joint capability area,JCA
Joint Contingency Acquisition Support Office (DLA),JCASO
joint collaboration cell; joint contracting center; joint cyberspace center,JCC
joint combat capability assessment,JCCA
Joint Combat Camera Center; joint communications control center,JCCC
Joint Continental United States Communications Support Environment,JCCSE
joint communications-electronics operating instructions,JCEOI
joint combined exchange training,JCET
joint coordination of electronic warfare reprogramming,JCEWR
joint force commander's electronic warfare staff,JCEWS
Joint Command Information Systems Activity,JCISA
joint counterintelligence unit,JCIU
joint communications security monitoring activity,JCMA
joint collection management board ,JCMB
joint civil-military engineering board,JCMEB
joint captured materiel exploitation center; Joint Captured Materiel Exploitation Center (DIA),JCMEC
joint communications security management office,JCMO
joint civil-military operations task force,JCMOTF
Joint Construction Management System,JCMS
joint communications network; joint communications node,JCN
Joint Capabilities Requirements Manager,JCRM
Joint Chiefs of Staff,JCS
joint contracting support board,JCSB
joint communications support element; Joint Communications Support Element (USTRANSCOM),JCSE
Joint Direct Attack Munition,JDAM
joint deployable analysis team,JDAT
joint doctrine distribution,JDD
joint doctrine development community,JDDC
joint deployment and distribution enterprise,JDDE
joint deployment and distribution operations center,JDDOC
joint doctrine development tool,JDDT
joint document exploitation center,JDEC
"Joint Doctrine, Education, and Training Electronic Information System",JDEIS
Joint Digital Information Gathering System,JDIGS
joint deployable intelligence support system,JDISS
joint data network; joint doctrine note,JDN
joint data network operations cell,JDNC
joint data network operations officer,JDNO
Joint Director of Military Support,JDOMS
Joint Doctrine Planning Conference,JDPC
joint desired point of impact,JDPI
joint deployment process owner,JDPO
Joint Deployment Training Center,JDTC
Joint Enabling Capabilities Command (USTRANSCOM),JECC
Joint Education and Doctrine,JED
Joint Education and Doctrine Division,JEDD
Joint Expeditionary Forensic Facility (Army),JEFF
Joint Electronic Library,JEL
Joint Electronic Library Plus,JEL+
joint environmental management board,JEMB
joint electromagnetic spectrum management operations,JEMSMO
joint electromagnetic spectrum operations,JEMSO
joint enterprise network manager,JENM
joint explosives ordnance disposal operations center,JEODOC
joint explosives ordnance disposal task force,JEODTF
Joint Exercise Program,JEP
Joint Engineer Planning and Execution System,JEPES
joint expeditionary team; Joint Operation Planning and Execution System editing tool,JET
Joint Electronic Warfare Center,JEWC
Joint Electronic Warfare Core Staff (NATO),JEWCS
joint engagement zone,JEZ
joint force air component commander,JFACC
Joint Flow and Analysis System for Transportation,JFAST
joint force commander,JFC
joint functional component command,JFCC
Joint Functional Component Command for Global Strike,JFCC-GS
Joint Functional Component Command for Integrated Missile Defense,JFCC-IMD
"Joint Functional Component Command for Intelligence, Surveillance, and Reconnaissance (USSTRATCOM)",JFCC-ISR
Joint Functional Component Command for Space (USSTRATCOM),JFCC-Space
"Joint Functional Component Command for Network Warfare 		",JFCC NW
joint force chaplain,JFCH
joint fires element,JFE
joint force headquarters,JFHQ
Joint Force Headquarters-National Capital Region,JFHQ-NCR
joint force headquarters-state,JFHQ-State
joint force land component commander,JFLCC
joint fleet mail center,JFMC
joint force maritime component commander,JFMCC
joint frequency management office,JFMO
joint field office; joint fires observer,JFO
joint force provider; Joint Frequency Panel (MCEB),JFP
joint force requirements generator II,JFRG II
joint force surgeon,JFS
joint force special operations component commander,JFSOCC
joint Federal travel regulations,JFTR
joint facilities utilization board,JFUB
joint global warning enterprise,JGWE
Joint Hometown News Service,JHNS
joint high-speed vessel,JHSV
joint individual augmentation; joint individual augmentee,JIA
joint interagency coordination group,JIACG
joint interagency task force,JIATF
Joint Interagency Task Force-South,JIATF-S
Joint Interagency Task Force-West,JIATF-W
joint information center,JIC
joint interface control cell,JICC
joint interface control officer,JICO
joint interrogation and debriefing center,JIDC
Joint Improvised-Threat Defeat Organization (DTRA),JIDO
Joint Information Exchange Environment,JIEE
joint intelligence estimate for planning,JIEP
joint information management board,JIMB
joint industrial mobilization planning process,JIMPP
joint interrogation operations,JIO
joint intelligence operations center,JIOC
"Joint Intelligence Operations Center, South",JIOC-SOUTH
Joint Intelligence Operations Center–Transportation (USTRANSCOM),JIOC-TRANS
"Joint Intelligence Operations Center, Pacific",JIOCPAC
Joint Information Operations Warfare Center,JIOWC
joint integrated prioritized collection list,JIPCL
joint intelligence preparation of the operational environment,JIPOE
joint integrated prioritized target list,JIPTL
joint information system,JIS
joint intelligence support element,JISE
Joint Intelligence Task Force for Combating Terrorism,JITF-CT
Joint Intelligence Virtual University,JIVU
Joint Improvised Explosive Device Defeat Organization Knowledge and Information Fusion Exchange ,JKnIFE
joint lighterage control center; joint logistics coordination center,JLCC
joint logistics environment,JLE
joint logistics enterprise,JLEnt
Joint Lessons Learned Information System,JLLIS
Joint Lessons Learned Program,JLLP
joint logistics over-the-shore operation area,JLOA
joint logistics operations center,JLOC
joint logistics over-the-shore,JLOTS
joint logistics readiness center,JLRC
joint line of communications security board,JLSB
joint legal support element,JLSE
Joint Mortuary Affairs Center (Army),JMAC
joint mortuary affairs office,JMAO
joint medical asset repository,JMAR
joint medical analysis tool,JMAT
joint movement center,JMC
joint meteorological and oceanographic coordination cell,JMCC
joint movement control group,JMCG
joint meteorological and oceanographic coordination organization,JMCO
joint manning document,JMD
joint mission-essential equipment list,JMEEL
Joint Munitions Effectiveness Manual,JMEM
joint mission-essential task,JMET
joint mission-essential task list,JMETL
joint modular intermodal container,JMIC
Joint Worldwide Intelligence Communications System mobile integrated communications system,JMICS
joint maritime information element,JMIE
joint military intelligence program,JMIP
joint military information support task force,JMISTF
Joint Military Intelligence Training Center,JMITC
joint military mail terminal,JMMT
joint maritime operations; joint meteorological and oceanographic officer; joint munitions office,JMO
joint medical operations center,JMOC
joint manpower program,JMP
joint military postal activity,JMPA
Joint Materiel Priorities and Allocation Board,JMPAB
Joint Mission Planning System,JMPS
Joint Medical Planning Tool,JMPT
Joint Monthly Readiness Review,JMRR
Joint Space Operations Center Mission System,JMS
joint munitions transportation coordinating activity,JMTCA
Joint Meritorious Unit Award,JMUA
joint medical working group,JMWG
joint network operations control center,JNCC
joint network management system,JNMS
Joint Navigation Warfare Center Navigation Warfare Support Cell,JNSC
Joint Navigation Warfare Center,JNWC
joint operations area,JOA
joint operations area forecast,JOAF
joint operations center,JOC
joint operations command center,JOCC
joint spectrum center ordnance electomagnetic environmental effects risk assessment database,JOERAD
joint operations graphic,JOG
Joint Operation Planning and Execution System,JOPES
joint operations planning group,JOPG
joint operation planning process,JOPP
joint operation planning process for air,JOPPA
Joint Operations Security Support Element (Joint Staff),JOSE
joint operations tasking center,JOTC
joint publication,JP
"jet propulsion fuel, type 4",JP4
"jet propulsion fuel, type 5",JP5
"jet propulsion fuel, type 8",JP8
joint planning augmentation cell; Joint POW/MIA Accounting Command,JPAC
joint precision airdrop system,JPADS
Joint Planning Advisory Group,JPAG
joint personnel accountability reconciliation and reporting,JPARR
joint public affairs support element; Joint Public Affairs Support Element (USTRANSCOM),JPASE
joint postal cell,JPC
joint planning and execution community,JPEC
joint personal effects depot,JPED
Joint Photographic Experts Group,JPEG
joint personnel status and casualty report,JPERSTAT
joint planning group,JPG
joint professional military education,JPME
joint patient movement requirements center,JPMRC
joint planning network,JPN
joint petroleum office; Joint Program Office,JPO
joint personnel operations center; joint planning orientation course,JPOC
joint planning process,JPP
joint personnel processing center,JPPC
Joint Personnel Recovery Agency,JPRA
joint personnel recovery center,JPRC
Joint Planning Support Element (USTRANSCOM),JPSE
joint personnel training and tracking activity,JPTTA
joint reconnaissance center,JRC
joint reception coordination center,JRCC
Joint Radiological Emergency Response Plan,JRERP
joint restricted frequency list,JRFL
joint reserve intelligence center,JRIC
Joint Reserve Intelligence Program,JRIP
Joint Requirements Oversight Council,JROC
joint requirements review board,JRRB
joint reporting structure,JRS
"joint reception, staging, onward movement, and integration",JRSOI
joint readiness training center,JRTC
Joint Staff,JS
joint security area,JSA
Joint Service Achievement Medal,JSAM
Joint Staff action processing,JSAP
joint security coordinator; Joint Spectrum Center,JSC
joint security coordination center,JSCC
Joint Service Commendation Medal,JSCM
Joint Strategic Campaign Plan,JSCP
Joint Staff doctrine sponsor,JSDS
Joint Search and Rescue Satellite-Aided Tracking Electronic Tracking System,JSETS
joint support force,JSF
joint shipboard helicopter operations,JSHO
joint spectrum interference resolution,JSIR
Joint Staff Integrated Vulnerability Assessment,JSIVA
joint spectrum management element,JSME
joint security operations,JSO
joint special operations area,JSOA
joint special operations air component; joint special operations aviation component,JSOAC
joint special operations air component commander,JSOACC
joint special operations command,JSOC
joint special operations task force,JSOTF
Joint Special Operations University,JSOU
joint satellite communications panel administrator,JSPA
Joint Space Operations Center,JSPOC
Joint Strategic Planning System,JSPS
joint strategy review,JSR
Joint Surveillance Target Attack Radar System,JSTARS
joint space tasking order,JSTO
joint technical architecture,JTA
joint terminal attack controller,JTAC
Joint Technical Analysis and Integration Cell (Army),JTAIC
joint tactical air strike request,JTAR
Joint Transportation Board,JTB
joint targeting coordination board,JTCB
joint transportation coordination center,JTCC
Joint Training Counter-Improvised Explosive Device Operations Integration Center,JTCOIC
joint table of distribution,JTD
joint task force,JTF
Joint Task Force-Alaska,JTF-AK
joint task force - consequence management,JTF-CM
Joint Task Force-Global Network Operations,JTF-GNO
Joint Task Force-Homeland Defense,JTF-HD
Joint Task Force-North,JTF-N
joint task force-port opening,JTF-PO
joint task force-state,JTF-State
joint task force contingency engineering management,JTFCEM
Joint Task Force-Civil Support,JTF-CS
joint task force - mortuary affairs office,JTF-MAO
Joint Tactical Information Distribution System,JTIDS
joint target list,JTL
joint theater logistics management,JTLM
joint table of mobilization and distribution; Joint Terminology Master Database,JTMD
joint theater movement staff; joint training master schedule,JTMS
joint test publication; joint training plan,JTP
Joint Travel Regulations,JTR
Joint Training System,JTS
joint theater support contracting command,JTSCC
joint terrorism task force,JTTF
joint targeting working group,JTWG
Joint Tactical Information Distribution System unit,JU
Joint User Handbook-Message Text Formats,JUH-MTF
joint unit identification code,JUIC
joint urban operation,JUO
joint urgent operational need,JUON
joint visitors bureau,JVB
Joint Warfare Analysis Center,JWAC
joint working group,JWG
Joint Worldwide Intelligence Communications System,JWICS
thousand,k
Kurtz-above band,Ka
kilobits per second,kbps
kilogram,kg
catastrophic kill,K-Kill
key leader engagement,KLE
kilometer,km
kilometers per hour,kph
tactical location identifier,KQ ID
kiloton(s); knot (nautical miles per hour),kt
Kurtz-under band,Ku
kilowatt,kW
land-electronic warfare element,L-EWE
lead agent; legal adviser,LA
latest arrival date; launch area denied,LAD
local area network,LAN
"lighter, amphibious resupply, cargo",LARC
"lighter, amphibious resupply, cargo, 5 ton",LARC-V
lighter aboard ship,LASH
light armored vehicle,LAV
pound,lb
pounds,lbs.
legal counsel,LC
"landing craft, air cushion",LCAC
low-cost aerial delivery system,LCADS
amphibious command ship; land component commander; lighterage control center,LCC
logistics combat element (USMC),LCE
"landing craft, mechanized; letter-class mail; life-cycle management",LCM
landing craft air cushion control officer,LCO
lighterage control point,LCP
landing craft air cushion control ship,LCS
"landing craft, utility",LCU
light damage; line of departure,LD
limited depository account,LDA
laser designator operator,LDO
low data rate,LDR
law enforcement; low-order explosives,LE
law enforcement agency,LEA
lead environmental component,LEC
light emitting diode,LED
law enforcement detachment (USCG),LEDET
legal attaché,LEGAT
Law Enforcement Intelligence Program (USCG),LEIP
low-altitude electromagnetic pulse,LEMP
law enforcement operations; low Earth orbit,LEO
law enforcement professional,LEP
landing force,LF
lead federal agency,LFA
landing force operations center,LFOC
landing force operational reserve material,LFORM
landing force support party,LFSP
deputy chief of staff for logistics,LG
laser-guided bomb,LGB
laser-guided missile; loop group multiplexer,LGM
laser-guided weapon,LGW
amphibious assault ship (general purpose),LHA
amphibious assault ship (multipurpose),LHD
light detection and ranging,LIDAR
limited distribution,LIMDIS
Logistics Information Processing System,LIPS
laser-guided joint direct attack munition,LJDAM
lessons learned,LL
low-light level television,LLLTV
low-level transit route,LLTR
Logistics Metrics Analysis Reporting System,LMARS
"large, medium-speed roll-on/roll-off",LMSR
lead nation; local national,LN
Library of National Intelligence,LNI
liaison officer,LNO
lift-on/lift-off,LO/LO
lift-on/roll-off,LO/RO
letter of assist; letter of authorization; letter of offer and acceptance; logistics over-the-shore operation area,LOA
law of armed conflict,LOAC
lock-on after launch,LOAL
lock-on before launch,LOBL
line of communications,LOC
line of departure,LOD
letter of evaluation; line of effort,LOE
logistics,LOG
logistics civil augmentation program (Army),LOGCAP
letter of instruction,LOI
low-altitude missile engagement zone,LOMEZ
line of operation,LOO
launch on remote,LOR
line of sight,LOS
logistics over-the-shore,LOTS
liquid oxygen,LOX
amphibious transport dock; low probability of detection,LPD
low probability of intercept,LPI
logistics readiness center,LRC
laser range finder,LRF
Laboratory Response Network (DHHS),LRN
lighterage repair officer,LRO
load and roll pallet,LRP
long-range surveillance team,LRST
logistics response time,LRT
logistic support analysis; logistics supportability analysis,LSA
lead Service for contracting,LSC
lead Service for contracting coordination,LSCC
dock landing ship,LSD
landing signalman enlisted; logistic support element,LSE
landing signals officer,LSO
"laser spot search; logistics support system; low, slow, and small",LSS
laser spot tracker,LST
logistics support vessel,LSV
long ton,LT
laser target designator,LTD
logistics task force,LTF
latest time information is of value,LTIOV
laser-to-target line,LTL
landing zone,LZ
million,M
monitoring and evaluation,M&E
mortuary affairs,MA
military assistance advisory group,MAAG
master air attack plan,MAAP
mobility assault company,MAC
multinational acquisition and contracting board,MACB
Marine air command and control system,MACCS
Marine air control group,MACG
mortuary affairs collection point,MACP
mortuary affairs contaminated remains mitigation site,MACRMS
Marine air control squadron,MACS
mobility air forces,MAF
Marine aircraft group; maritime assessment group; military assignment group,MAG
Marine air-ground task force,MAGTF
Marine air-ground task force aviation combat element,MAGTFACE
major command (USAF),MAJCOM
man-portable air defense system,MANPADS
Maritime Analysis and Operations Center-Narcotics,MAOC-N
Military Assistance Program,MAP
Maritime Administration,MARAD
Maritime Administration Ready Reserve Force,MARAD RRF
Marine Corps Logistics Command,MARCORLOGCOM
Marine division,MARDIV
Marine Corps forces,MARFOR
"United States Marine Corps Forces, United States Strategic Command",MARFORSTRAT
Maritime Intelligence Center,MARINCEN
Marine Corps tactical air command center,Marine TACC
Marine liaison element,MARLE
mass atrocity response operations,MARO
International Convention for the Prevention of Pollution from Ships,MARPOL
Military Auxiliary Radio System,MARS
"United States Marine Corps Forces, Special Operations Command",MARSOC
Marine Corps special operations forces,MARSOF
Mortuary Affairs Reporting and Tracking System,MARTS
maritime air support,MAS
mass casualty,MASCAL
mobile aeromedical staging facility,MASF
measurement and signature intelligence,MASINT
measurement and signature intelligence liaison officer,MASLO
mobile ashore support terminal,MAST
Marine aircraft wing,MAW
maximum ordinate,MAXORD
megabytes per second,Mbps
Military Committee (NATO); mission-critical; mobile communications,MC
mass casualty/fatality incident,MC/FI
"Military Command, Control, Communications and Computers Executive Board",MC4EB
mail control activity; military civic action; movement control agency,MCA
maritime civil affairs group,MCAG
Marine Corps air station,MCAS
maritime civil affairs and security training,MCAST
maritime civil affairs team,MCAT
movement control battalion,MCB
Marine component commander; military coordinating committee; military counterintelligence collections; mission control center; mobility control center; movement control center,MCC
Marine Corps Combat Development Command,MCCDC
medical crew director,MCD
Marine Corps doctrinal publication,MCDP
Military Communications-Electronics Board,MCEB
Marine Corps Embassy Security Group,MCESG
multinational communications integration,MCI
Marine Corps Intelligence Activity,MCIA
military criminal investigative organization,MCIO
Marine Corps Information Operations Center,MCIOC
Marine Corps interim publication; military customs inspection program,MCIP
maneuver control measure; Manual for Courts-Martial; military committee memorandum (memorandum issued in the name of the Chairman); mine countermeasures ,MCM
mine countermeasures commander,MCMC
medical civil-military operations,MCMO
mine countermeasures operations,MCMOPS
mine countermeasure report,MCMREP
mine countermeasures squadron,MCMRON
major combat operation; Mapping Customer Operations (Defense Logistics Agency); Marine Corps order,MCO
modified combined obstacle overlay,MCOO
Marine Corps reference publication,MCRP
modular causeway system,MCS
Marine Cryptologic Support Battalion ,MCSB
Marine Corps Security Force Regiment,MCSFR
movement control team,MCT
Marine Corps Tactics and Operations Group,MCTOG
Marine Corps tactical publication,MCTP
Marine Corps Warfighting Lab,MCWL
Marine Corps warfighting publication,MCWP
Marine Corps Exchange,MCX
missile defense; moderate damage,MD
maritime domain awareness; Missile Defense Agency,MDA
blood support medical detachment,MDBS
Military Department counterintelligence organization,MDCO
Marine air-ground task force deployment and distribution operations center,MDDOC
maritime defense measure,MDM
methylenedioxymethamphetamine,MDMA
military deception officer,MDO
mission disaster response officer,MDRO
Message Dissemination Subsystem; mobile diving and salvage,MDS
Marine air-ground task force Deployment Support System II,MDSS II
mobile diving and salvage unit,MDSU
medical examiner and/or coroner,ME/C
munitions effect assessment; munitions effectiveness assessment,MEA
maneuver enhancement brigade; Marine expeditionary brigade,MEB
medical coordination cell,MEDCC
US Army Medical Command,MEDCOM
medical command (deployment support) (Army),MEDCOM (DS)
medical evacuation,MEDEVAC
medical intelligence,MEDINT
medical logistics (USAF AIS),MEDLOG
medical logistics support,MEDLOG support
medical noncombatant evacuation operation,MEDNEO
Marine expeditionary force,MEF
Military Extraterritorial Jurisdiction Act,MEJA
medium Earth orbit; military equal opportunity,MEO
mobile electric power,MEP
maritime expeditionary security force,MESF
maritime expeditionary security force commander,MESFC
maritime expeditionary security operations,MESO
mobile environmental team,MET
control of meteorological information (roughly translated from French),METCON
mission-essential task list,METL
meteorological and oceanographic,METOC
meteorological satellite,METSAT
"mission, enemy, terrain and weather, troops and support available--time available",METT-T
"mission, enemy, terrain and weather, troops and support available-time available and civil considerations (Army)",METT-TC
meteorological watch,METWATCH
Marine expeditionary unit,MEU
mission essential vulnerable area,MEVA
missile engagement zone,MEZ
mobile facility,MF
multinational force commander,MFC
mobile field exchange,MFE
multinational force and observers,MFO
military grid reference system,MGRS
maximum gross weight,MGW
maritime homeland defense,MHD
materials handling equipment,MHE
maritime homeland security; Military Health System,MHS
megahertz,MHz
military intelligence; movement instructions,MI
missing in action,MIA
Military Intelligence Board,MIB
Multinational Interoperability Council,MIC
model for intertheater deployment by air and sea,MIDAS
modernized integrated database; modernized intelligence database,MIDB
military standard,MIL-STD
military airlift,MILAIR
military air line of communications,MILALOC
minelike contact,MILCO
military construction,MILCON
military deception,MILDEC
Military Department,MILDEP
military satellite communications,MILSATCOM
military specification,MILSPEC
military standard transportation and movement procedures,MILSTAMP
military standard transaction reporting and accounting procedure,MILSTRAP
military standard requisitioning and issue procedure,MILSTRIP
military technician,MILTECH
multinational integrated logistic unit,MILU
military van (container),MILVAN
Mobilization Information Management Plan,MIMP
maritime interception operations,MIO
maritime interception operations commander,MIOC
military intelligence program,MIP
medical intelligence preparation of the operational environment,MIPOE
military interdepartmental purchase request,MIPR
multisensor imagery reconnaissance,MIR
mobile integrated remains collection system,MIRCS
military information support,MIS
military information support group,MISG
military information support operations,MISO
mission report,MISREP
military information support team,MIST
military information support task force,MISTF
mission tasking matrix,MITAM
mine warfare,MIW
mine warfare commander,MIWC
multinational interoperability working group,MIWG
multinational joint logistic center,MJLC
mobility kill,M-Kill
mission load allowance,MLA
Maritime Law Enforcement Academy,MLEA
Maritime Law Enforcement Manual,MLEM
Marine logistics group,MLG
munitions list item,MLI
medical logistics management center,MLMC
mobile landing platform,MLP
multiple launch rocket system,MLRS
multilevel security,MLS
mutual logistics support agreement,MLSA
mean low water,MLW
military mine action center,MMAC
Department of Defense Master Mobilization Guide,MMG
marine mammal system,MMS
multinational corporation,MNC
multinational coordination center,MNCC
multinational explosives ordnance disposal control center,MNEODCC
multinational force,MNF
multinational force air component commander,MNFACC
multinational force commander,MNFC
multinational force land component commander,MNFLCC
multinational force maritime component commander,MNFMCC
multinational force special operations component commander,MNFSOCC
multinational joint logistics component,MNJLC
master net list; multinational logistics,MNL
multinational logistic center,MNLC
mission needs statement,MNS
multinational task force,MNTF
memorandum of agreement,MOA
main operating base; mobilization,MOB
military manpower mobilization and accession status report; mobilization report,MOBREP
maritime operations center; media operations center,MOC
ministry of defense; modification,MOD
model,Mod
ministry of defense advisor,MODA
measure of effectiveness,MOE
measure of effectiveness indicator,MOEI
maximum (aircraft) on ground,MOG
motor gasoline,MOGAS
mobility matting,MOMAT
measure of performance; memorandum of policy,MOP
mission-oriented protective posture,MOPP
military occupational specialty,MOS
meteorological and oceanographic operations support community,MOSC
maritime operational threat response,MOTR
memorandum of understanding,MOU
movement report,MOVREP
military police (Army and Marine); multinational publication,MP
maritime patrol aircraft; mission planning agent,MPA
military patient administration team; Multinational Planning Augmentation Team,MPAT
maritime pre-positioning equipment and supplies,MPE/S
maritime pre-positioning force,MPF
maritime pre-positioning force utility boat,MPFUB
miles per hour,mph
measuring progress in conflict environments,MPICE
Master Positioning Navigation and Timing Plan,MPNTP
military post office,MPO
maritime procedural publication,MPP
maritime patrol and reconnaissance,MPR
